source,target,weight
2,1,17
3,1,2
3,2,8
8,1,28
18,1,24
4,1,13
21,1,30
1,20,3
25,1,55
27,1,2
30,1,4
12,1,5
41,1,1
52,1,1
51,1,2
37,1,3
1,35,5
68,1,34
71,1,23
66,1,1
70,1,1
67,1,2
74,1,18
89,1,5
2,8,6
25,2,39
2,68,32
2,74,77
2,30,3
2,71,48
2,67,2
2,81,1
2,89,20
49,2,2
2,98,20
2,100,13
103,2,1
2,105,2
2,95,2
2,96,3
97,2,1
3,95,8
3,94,2
3,100,17
3,99,1
3,98,15
3,74,9
103,3,1
3,105,3
3,71,3
3,25,3
5,4,1
6,7,1
8,7,1
4,7,1
8,4,26
5,7,1
9,5,1
9,7,1
5,10,8
10,11,2
5,11,1
13,12,3
12,14,1
13,14,3
15,4,22
15,8,15
15,16,2
17,4,2
17,8,2
17,15,2
12,5,6
12,10,3
5,14,2
15,14,1
13,15,7
4,14,2
13,4,9
13,18,7
18,4,16
18,14,1
13,8,7
8,19,3
15,19,1
4,19,2
13,19,2
15,18,10
4,20,6
21,20,5
18,20,3
21,4,22
21,18,41
15,22,2
21,22,2
4,22,2
18,22,2
21,15,12
21,23,2
23,4,2
23,18,1
21,24,8
15,24,3
4,24,8
18,24,5
21,25,10
25,18,12
8,14,1
26,12,3
21,27,3
21,28,2
27,28,1
15,27,1
27,4,2
15,28,1
4,28,2
21,8,46
8,24,1
25,20,1
27,20,1
25,4,1
25,27,1
27,18,1
29,30,1
30,24,1
22,24,1
21,30,1
30,15,1
30,18,1
30,22,1
30,4,1
29,15,2
29,18,1
31,4,1
21,31,1
31,28,1
27,24,1
21,13,2
21,19,4
12,32,2
12,15,5
12,4,1
15,32,1
4,32,1
33,4,2
34,4,2
4,35,3
4,36,1
34,33,4
33,35,16
21,33,9
33,36,1
34,35,4
21,34,2
34,36,1
21,35,9
36,35,1
21,36,1
37,12,6
37,32,1
8,35,20
33,8,9
34,8,1
17,18,2
26,5,3
21,17,1
17,13,1
8,18,9
12,38,1
38,5,1
26,38,1
26,10,1
39,19,4
21,39,2
38,15,1
5,18,2
9,11,1
40,39,2
40,19,2
21,40,1
12,18,5
12,42,2
12,43,2
43,42,1
12,33,3
12,35,2
12,34,1
37,33,2
37,35,8
37,34,1
41,15,1
41,8,2
21,41,3
8,6,1
21,14,1
18,44,1
21,44,1
45,44,2
46,44,1
45,18,1
18,46,1
21,45,1
21,46,3
45,46,1
8,47,5
48,47,2
48,8,6
49,47,2
49,50,3
49,8,1
50,47,1
50,8,1
25,51,4
52,25,3
25,53,1
21,51,3
21,52,1
21,53,2
52,51,4
51,18,4
53,51,2
52,18,1
52,53,1
53,18,2
37,8,8
12,8,5
8,42,1
37,42,1
37,15,1
42,35,1
15,35,1
33,42,1
15,33,1
15,42,1
33,18,2
15,43,1
54,18,3
54,50,1
56,55,2
5,55,2
5,56,2
8,55,1
8,56,1
5,8,1
54,8,3
21,55,1
21,56,1
21,5,1
21,54,3
18,55,1
54,55,1
18,56,1
54,56,1
54,5,1
54,33,2
34,57,1
54,35,2
18,35,1
54,12,2
8,58,2
21,58,2
21,12,14
59,8,2
21,59,1
21,37,2
25,8,9
25,12,2
37,25,3
37,18,5
37,60,2
37,61,2
37,62,1
60,18,2
60,61,2
60,62,1
61,18,2
62,18,1
62,61,1
41,18,2
25,41,2
63,35,1
64,8,2
8,65,1
59,5,1
21,64,1
64,33,1
64,35,1
37,66,2
37,4,1
25,35,1
67,12,7
25,66,1
69,68,2
70,69,2
70,68,4
67,71,2
52,68,3
68,51,3
25,68,29
25,71,49
71,68,26
52,71,1
68,8,22
71,8,1
72,73,2
67,72,1
67,73,7
74,8,10
74,68,43
31,74,1
74,30,1
25,74,54
71,72,1
71,73,1
74,71,69
67,8,1
75,76,1
75,77,1
75,68,1
76,77,1
76,68,1
68,77,4
70,71,1
71,78,1
68,78,3
70,78,3
70,25,1
25,78,1
78,77,3
76,78,1
70,77,2
78,79,1
70,76,1
68,79,1
74,81,3
71,81,4
25,82,1
74,83,1
25,81,1
85,84,2
67,84,8
67,85,2
82,71,1
86,68,3
87,77,2
68,83,1
67,88,1
88,84,1
68,35,6
49,84,1
49,67,3
74,89,12
89,71,12
25,89,8
67,89,4
67,74,2
49,89,2
49,25,1
25,67,1
49,74,1
49,71,1
67,68,7
89,68,6
67,90,1
91,25,2
25,30,3
30,68,2
92,30,1
92,25,2
92,74,1
92,71,1
91,68,1
91,30,1
74,61,1
93,74,2
89,61,1
93,89,5
93,61,1
25,61,1
71,61,1
68,61,1
93,25,2
93,71,2
93,68,1
12,68,3
89,77,6
93,77,1
21,67,1
21,68,1
94,95,3
96,94,1
96,95,2
97,96,1
97,94,1
97,95,1
97,98,3
101,96,5
100,99,2
98,95,11
101,102,1
96,102,2
97,101,1
98,100,29
74,100,17
98,74,23
103,74,2
103,100,1
103,98,1
101,104,3
96,104,2
74,105,4
98,105,2
105,100,2
74,95,2
71,95,3
98,71,3
96,100,4
95,106,2
93,95,1
25,95,2
107,95,1
74,106,1
93,106,1
98,106,1
71,106,1
25,106,1
107,106,1
107,74,1
93,98,1
93,107,1
25,98,1
107,98,1
107,71,2
107,25,2
97,74,2
109,101,1
110,95,3
111,106,1
74,96,3
98,96,2
111,112,2
112,108,1
112,95,2
110,112,2
111,108,1
111,95,2
110,111,2
95,108,1
110,108,1
71,100,1
68,100,1
