id,label,scene_occ
1,R2-D2,171
2,CHEWBACCA,145
3,BB-8,40
4,QUI-GON,62
5,NUTE GUNRAY,25
6,PK-4,4
7,TC-14,5
8,OBI-WAN,148
9,DOFINE,4
10,RUNE,11
11,TEY HOW,5
12,EMPEROR,52
13,CAPTAIN PANAKA,20
14,SIO BIBBLE,9
15,JAR JAR,42
16,TARPALS,4
17,BOSS NASS,5
18,PADME,75
19,RIC OLIE,12
20,WATTO,9
21,ANAKIN,132
22,SEBULBA,4
23,JIRA,4
24,SHMI,12
25,C-3PO,151
26,DARTH MAUL,6
27,KITSTER,5
28,WALD,4
29,FODE/BEED,12
30,JABBA,8
31,GREEDO,4
32,VALORUM,4
33,MACE WINDU,23
34,KI-ADI-MUNDI,7
35,YODA,46
36,RABE,3
37,BAIL ORGANA,24
38,GENERAL CEEL,5
39,BRAVO TWO,6
40,BRAVO THREE,4
41,CAPTAIN TYPHO,7
42,SENATOR ASK AAK,4
43,ORN FREE TAA,4
44,SOLA,4
45,JOBAL,4
46,RUWEE,5
47,TAUN WE,8
48,LAMA SU,9
49,BOBA FETT,11
50,JANGO FETT,6
51,OWEN,11
52,BERU,7
53,CLIEGG,4
54,COUNT DOOKU,10
55,SUN RIT,4
56,POGGLE,4
57,PLO KOON,4
58,ODD BALL,5
59,GENERAL GRIEVOUS,13
60,FANG ZAR,4
61,MON MOTHMA,5
62,GIDDEAN DANU,3
63,CLONE COMMANDER GREE,5
64,CLONE COMMANDER CODY,5
65,TION MEDON,4
66,CAPTAIN ANTILLES,4
67,DARTH VADER,59
68,LUKE,161
69,CAMIE,4
70,BIGGS,19
71,LEIA,99
72,MOTTI,4
73,TARKIN,13
74,HAN,170
75,DODONNA,4
76,GOLD LEADER,15
77,WEDGE,29
78,RED LEADER,34
79,RED TEN,9
80,GOLD FIVE,9
81,RIEEKAN,8
82,DERLIN,4
83,ZEV,7
84,PIETT,13
85,OZZEL,4
86,DACK,5
87,JANSON,5
88,NEEDA,4
89,LANDO,42
90,JERJERROD,4
91,BIB FORTUNA,4
92,BOUSHH,4
93,ADMIRAL ACKBAR,13
94,LOR SAN TEKKA,5
95,POE,31
96,KYLO REN,23
97,CAPTAIN PHASMA,7
98,FINN,64
99,UNKAR PLUTT,6
100,REY,57
101,GENERAL HUX,15
102,LIEUTENANT MITAKA,4
103,BALA-TIK,5
104,SNOKE,5
105,MAZ,7
106,SNAP,6
107,ADMIRAL STATURA,4
108,YOLO ZIFF,4
109,COLONEL DATOO,4
110,ELLO ASTY,5
111,JESS,5
112,NIV LEK,4
